Customer ID,Order_ID,Purchase Amount (USD),Discount Applied,Promo Code Used,Shipping Type,Season,Product_ID
39,ORD3038,37,Yes,Yes,2-Day Shipping,Winter,PROD2039
40,ORD3039,60,Yes,Yes,Express,Summer,PROD2040
41,ORD3040,76,Yes,Yes,Next Day Air,Winter,PROD2041
42,ORD3041,39,Yes,Yes,Standard,Spring,PROD2042
43,ORD3042,100,Yes,Yes,Free Shipping,Spring,PROD2043
44,ORD3043,69,Yes,Yes,Store Pickup,Fall,PROD2044
45,ORD3044,53,Yes,Yes,Free Shipping,Summer,PROD2045
46,ORD3045,21,Yes,Yes,2-Day Shipping,Fall,PROD2046
47,ORD3046,43,Yes,Yes,Store Pickup,Summer,PROD2047
48,ORD3047,54,Yes,Yes,Free Shipping,Winter,PROD2048
49,ORD3048,55,Yes,Yes,Store Pickup,Summer,PROD2049
50,ORD3049,30,Yes,Yes,Next Day Air,Spring,PROD2050
51,ORD3050,28,Yes,Yes,Store Pickup,Spring,PROD2051
52,ORD3051,59,Yes,Yes,2-Day Shipping,Winter,PROD2052
53,ORD3052,20,Yes,Yes,Free Shipping,Summer,PROD2053
54,ORD3053,24,Yes,Yes,Next Day Air,Winter,PROD2054
55,ORD3054,94,Yes,Yes,Next Day Air,Summer,PROD2055
56,ORD3055,28,Yes,Yes,2-Day Shipping,Winter,PROD2056
57,ORD3056,73,Yes,Yes,Store Pickup,Summer,PROD2057
58,ORD3057,64,Yes,Yes,Store Pickup,Summer,PROD2058
59,ORD3058,54,Yes,Yes,Free Shipping,Summer,PROD2059
60,ORD3059,79,Yes,Yes,Standard,Spring,PROD2060
61,ORD3060,37,Yes,Yes,Express,Summer,PROD2061
62,ORD3061,68,Yes,Yes,Store Pickup,Winter,PROD2062
63,ORD3062,21,Yes,Yes,Free Shipping,Spring,PROD2063
64,ORD3063,79,Yes,Yes,2-Day Shipping,Winter,PROD2064
65,ORD3064,83,Yes,Yes,Standard,Fall,PROD2065
66,ORD3065,36,Yes,Yes,2-Day Shipping,Spring,PROD2066
67,ORD3066,94,Yes,Yes,2-Day Shipping,Winter,PROD2067
68,ORD3067,33,Yes,Yes,Store Pickup,Winter,PROD2068
69,ORD3068,46,Yes,Yes,Next Day Air,Summer,PROD2069
70,ORD3069,70,Yes,Yes,Express,Summer,PROD2070
71,ORD3070,29,Yes,Yes,Express,Fall,PROD2071
72,ORD3071,48,Yes,Yes,Express,Summer,PROD2072
73,ORD3072,26,Yes,Yes,Store Pickup,Winter,PROD2073
74,ORD3073,85,Yes,Yes,Free Shipping,Spring,PROD2074
75,ORD3074,58,Yes,Yes,Express,Spring,PROD2075
76,ORD3075,85,Yes,Yes,Free Shipping,Summer,PROD2076
77,ORD3076,43,Yes,Yes,Free Shipping,Summer,PROD2077
78,ORD3077,53,Yes,Yes,Next Day Air,Summer,PROD2078
79,ORD3078,91,Yes,Yes,Free Shipping,Spring,PROD2079
80,ORD3079,96,Yes,Yes,2-Day Shipping,Winter,PROD2080
81,ORD3080,72,Yes,Yes,Store Pickup,Summer,PROD2081
82,ORD3081,96,Yes,Yes,Express,Summer,PROD2082
83,ORD3082,28,Yes,Yes,2-Day Shipping,Spring,PROD2083
84,ORD3083,40,Yes,Yes,Standard,Summer,PROD2084
85,ORD3084,32,Yes,Yes,Standard,Spring,PROD2085
86,ORD3085,95,Yes,Yes,Next Day Air,Winter,PROD2086
87,ORD3086,41,Yes,Yes,2-Day Shipping,Spring,PROD2087
88,ORD3087,53,Yes,Yes,2-Day Shipping,Fall,PROD2088
89,ORD3088,47,Yes,Yes,Free Shipping,Fall,PROD2089
90,ORD3089,83,Yes,Yes,Next Day Air,Fall,PROD2090
91,ORD3090,48,Yes,Yes,Express,Summer,PROD2091
92,ORD3091,99,Yes,Yes,Standard,Winter,PROD2092
93,ORD3092,87,Yes,Yes,2-Day Shipping,Winter,PROD2093
94,ORD3093,62,Yes,Yes,Standard,Fall,PROD2094
95,ORD3094,76,Yes,Yes,Free Shipping,Spring,PROD2095
96,ORD3095,100,Yes,Yes,Free Shipping,Fall,PROD2096
97,ORD3096,73,Yes,Yes,Express,Spring,PROD2097
98,ORD3097,92,Yes,Yes,Store Pickup,Winter,PROD2098
99,ORD3098,67,Yes,Yes,Next Day Air,Spring,PROD2099
100,ORD3099,40,Yes,Yes,Express,Summer,PROD2100
101,ORD3100,98,Yes,Yes,Express,Fall,PROD2101
102,ORD3101,85,Yes,Yes,Express,Spring,PROD2102
103,ORD3102,67,Yes,Yes,Next Day Air,Winter,PROD2103
104,ORD3103,89,Yes,Yes,Next Day Air,Winter,PROD2104
105,ORD3104,24,Yes,Yes,2-Day Shipping,Spring,PROD2105
106,ORD3105,96,Yes,Yes,Next Day Air,Fall,PROD2106
107,ORD3106,35,Yes,Yes,Standard,Summer,PROD2107
108,ORD3107,67,Yes,Yes,Next Day Air,Winter,PROD2108
109,ORD3108,79,Yes,Yes,Next Day Air,Spring,PROD2109
110,ORD3109,85,Yes,Yes,Next Day Air,Spring,PROD2110
111,ORD3110,26,Yes,Yes,Standard,Summer,PROD2111
112,ORD3111,75,Yes,Yes,Free Shipping,Summer,PROD2112
113,ORD3112,65,Yes,Yes,Free Shipping,Spring,PROD2113
114,ORD3113,54,Yes,Yes,Next Day Air,Winter,PROD2114
115,ORD3114,95,Yes,Yes,Store Pickup,Summer,PROD2115
116,ORD3115,94,Yes,Yes,Standard,Spring,PROD2116
117,ORD3116,86,Yes,Yes,Free Shipping,Spring,PROD2117
118,ORD3117,32,Yes,Yes,Express,Summer,PROD2118
119,ORD3118,45,Yes,Yes,2-Day Shipping,Fall,PROD2119
120,ORD3119,76,Yes,Yes,Express,Fall,PROD2120
121,ORD3120,84,Yes,Yes,Express,Summer,PROD2121
122,ORD3121,72,Yes,Yes,Standard,Winter,PROD2122
123,ORD3122,40,Yes,Yes,2-Day Shipping,Spring,PROD2123
124,ORD3123,89,Yes,Yes,Free Shipping,Fall,PROD2124
125,ORD3124,86,Yes,Yes,Next Day Air,Spring,PROD2125
126,ORD3125,54,Yes,Yes,Next Day Air,Winter,PROD2126
127,ORD3126,36,Yes,Yes,Store Pickup,Spring,PROD2127
128,ORD3127,89,Yes,Yes,Next Day Air,Winter,PROD2128
129,ORD3128,32,Yes,Yes,Standard,Spring,PROD2129
130,ORD3129,67,Yes,Yes,2-Day Shipping,Summer,PROD2130
131,ORD3130,39,Yes,Yes,Next Day Air,Fall,PROD2131
132,ORD3131,29,Yes,Yes,Standard,Summer,PROD2132
133,ORD3132,58,Yes,Yes,2-Day Shipping,Fall,PROD2133
134,ORD3133,65,Yes,Yes,Next Day Air,Winter,PROD2134
135,ORD3134,94,Yes,Yes,Store Pickup,Fall,PROD2135
136,ORD3135,81,Yes,Yes,Express,Fall,PROD2136
137,ORD3136,86,Yes,Yes,Free Shipping,Winter,PROD2137
138,ORD3137,43,Yes,Yes,Free Shipping,Spring,PROD2138
139,ORD3138,29,Yes,Yes,Store Pickup,Winter,PROD2139
140,ORD3139,95,Yes,Yes,Store Pickup,Fall,PROD2140
141,ORD3140,28,Yes,Yes,2-Day Shipping,Fall,PROD2141
142,ORD3141,46,Yes,Yes,Free Shipping,Fall,PROD2142
143,ORD3142,58,Yes,Yes,Free Shipping,Fall,PROD2143
144,ORD3143,48,Yes,Yes,Store Pickup,Fall,PROD2144
145,ORD3144,43,Yes,Yes,Express,Fall,PROD2145
146,ORD3145,95,Yes,Yes,Standard,Fall,PROD2146
147,ORD3146,30,Yes,Yes,Standard,Fall,PROD2147
148,ORD3147,64,Yes,Yes,2-Day Shipping,Summer,PROD2148
149,ORD3148,90,Yes,Yes,Store Pickup,Fall,PROD2149
150,ORD3149,76,Yes,Yes,Free Shipping,Summer,PROD2150
151,ORD3150,96,Yes,Yes,Standard,Fall,PROD2151
152,ORD3151,47,Yes,Yes,Next Day Air,Fall,PROD2152
153,ORD3152,85,Yes,Yes,Express,Summer,PROD2153
154,ORD3153,55,Yes,Yes,Standard,Winter,PROD2154
155,ORD3154,98,Yes,Yes,Next Day Air,Fall,PROD2155
156,ORD3155,77,Yes,Yes,Free Shipping,Spring,PROD2156
157,ORD3156,26,Yes,Yes,Standard,Fall,PROD2157
158,ORD3157,68,Yes,Yes,Next Day Air,Fall,PROD2158
159,ORD3158,73,Yes,Yes,Standard,Fall,PROD2159
160,ORD3159,27,Yes,Yes,Store Pickup,Fall,PROD2160
161,ORD3160,23,Yes,Yes,Free Shipping,Summer,PROD2161
162,ORD3161,49,Yes,Yes,Express,Fall,PROD2162
163,ORD3162,74,Yes,Yes,Store Pickup,Summer,PROD2163
164,ORD3163,67,Yes,Yes,Standard,Summer,PROD2164
165,ORD3164,65,Yes,Yes,Free Shipping,Spring,PROD2165
166,ORD3165,60,Yes,Yes,Store Pickup,Winter,PROD2166
167,ORD3166,31,Yes,Yes,Store Pickup,Fall,PROD2167
168,ORD3167,27,Yes,Yes,Express,Fall,PROD2168
169,ORD3168,80,Yes,Yes,Express,Summer,PROD2169
170,ORD3169,30,Yes,Yes,Standard,Summer,PROD2170
171,ORD3170,25,Yes,Yes,Store Pickup,Fall,PROD2171
172,ORD3171,35,Yes,Yes,Store Pickup,Summer,PROD2172
173,ORD3172,67,Yes,Yes,Next Day Air,Summer,PROD2173
174,ORD3173,46,Yes,Yes,Standard,Fall,PROD2174
175,ORD3174,35,Yes,Yes,Express,Winter,PROD2175
176,ORD3175,86,Yes,Yes,Next Day Air,Fall,PROD2176
177,ORD3176,81,Yes,Yes,Next Day Air,Spring,PROD2177
178,ORD3177,42,Yes,Yes,Next Day Air,Fall,PROD2178
179,ORD3178,43,Yes,Yes,2-Day Shipping,Fall,PROD2179
180,ORD3179,31,Yes,Yes,Store Pickup,Fall,PROD2180
181,ORD3180,81,Yes,Yes,Store Pickup,Fall,PROD2181
182,ORD3181,61,Yes,Yes,Next Day Air,Summer,PROD2182
183,ORD3182,96,Yes,Yes,Store Pickup,Summer,PROD2183
184,ORD3183,29,Yes,Yes,2-Day Shipping,Spring,PROD2184
185,ORD3184,33,Yes,Yes,Express,Spring,PROD2185
186,ORD3185,32,Yes,Yes,Store Pickup,Summer,PROD2186
187,ORD3186,56,Yes,Yes,Standard,Summer,PROD2187
188,ORD3187,94,Yes,Yes,Store Pickup,Spring,PROD2188
189,ORD3188,53,Yes,Yes,Express,Spring,PROD2189
190,ORD3189,82,Yes,Yes,Next Day Air,Fall,PROD2190
191,ORD3190,70,Yes,Yes,Free Shipping,Fall,PROD2191
192,ORD3191,76,Yes,Yes,Free Shipping,Fall,PROD2192
193,ORD3192,29,Yes,Yes,Express,Summer,PROD2193
194,ORD3193,100,Yes,Yes,Standard,Fall,PROD2194
195,ORD3194,94,Yes,Yes,Express,Spring,PROD2195
196,ORD3195,25,Yes,Yes,Free Shipping,Fall,PROD2196
197,ORD3196,88,Yes,Yes,Next Day Air,Summer,PROD2197
198,ORD3197,78,Yes,Yes,2-Day Shipping,Fall,PROD2198
199,ORD3198,45,Yes,Yes,Standard,Winter,PROD2199
200,ORD3199,73,Yes,Yes,Express,Summer,PROD2200
201,ORD3200,61,Yes,Yes,Next Day Air,Summer,PROD2201
202,ORD3201,22,Yes,Yes,Free Shipping,Fall,PROD2202
203,ORD3202,38,Yes,Yes,Express,Spring,PROD2203
204,ORD3203,38,Yes,Yes,Next Day Air,Fall,PROD2204
205,ORD3204,100,Yes,Yes,Store Pickup,Fall,PROD2205
206,ORD3205,64,Yes,Yes,Standard,Winter,PROD2206
207,ORD3206,55,Yes,Yes,Free Shipping,Summer,PROD2207
208,ORD3207,91,Yes,Yes,Express,Summer,PROD2208
209,ORD3208,38,Yes,Yes,Store Pickup,Spring,PROD2209
210,ORD3209,97,Yes,Yes,Store Pickup,Winter,PROD2210
211,ORD3210,22,Yes,Yes,2-Day Shipping,Fall,PROD2211
212,ORD3211,92,Yes,Yes,2-Day Shipping,Fall,PROD2212
213,ORD3212,84,Yes,Yes,Express,Fall,PROD2213
214,ORD3213,93,Yes,Yes,Store Pickup,Fall,PROD2214
215,ORD3214,50,Yes,Yes,Next Day Air,Summer,PROD2215
216,ORD3215,64,Yes,Yes,2-Day Shipping,Spring,PROD2216
217,ORD3216,61,Yes,Yes,Free Shipping,Spring,PROD2217
218,ORD3217,48,Yes,Yes,Next Day Air,Winter,PROD2218
219,ORD3218,45,Yes,Yes,Store Pickup,Spring,PROD2219
220,ORD3219,88,Yes,Yes,Free Shipping,Spring,PROD2220
221,ORD3220,57,Yes,Yes,Express,Spring,PROD2221
222,ORD3221,68,Yes,Yes,Store Pickup,Summer,PROD2222
223,ORD3222,94,Yes,Yes,2-Day Shipping,Spring,PROD2223
224,ORD3223,41,Yes,Yes,Free Shipping,Spring,PROD2224
225,ORD3224,83,Yes,Yes,Free Shipping,Summer,PROD2225
226,ORD3225,22,Yes,Yes,Next Day Air,Spring,PROD2226
227,ORD3226,74,Yes,Yes,Free Shipping,Spring,PROD2227
228,ORD3227,90,Yes,Yes,Standard,Winter,PROD2228
229,ORD3228,79,Yes,Yes,Store Pickup,Spring,PROD2229
230,ORD3229,28,Yes,Yes,Next Day Air,Spring,PROD2230
231,ORD3230,88,Yes,Yes,Standard,Fall,PROD2231
232,ORD3231,26,Yes,Yes,2-Day Shipping,Spring,PROD2232
233,ORD3232,27,Yes,Yes,Express,Winter,PROD2233
234,ORD3233,83,Yes,Yes,Next Day Air,Fall,PROD2234
235,ORD3234,39,Yes,Yes,Next Day Air,Summer,PROD2235
236,ORD3235,89,Yes,Yes,Free Shipping,Winter,PROD2236
237,ORD3236,68,Yes,Yes,Next Day Air,Winter,PROD2237
238,ORD3237,90,Yes,Yes,Store Pickup,Summer,PROD2238
239,ORD3238,34,Yes,Yes,Free Shipping,Fall,PROD2239
240,ORD3239,51,Yes,Yes,Express,Summer,PROD2240
241,ORD3240,45,Yes,Yes,Free Shipping,Winter,PROD2241
242,ORD3241,88,Yes,Yes,Free Shipping,Winter,PROD2242
243,ORD3242,85,Yes,Yes,Store Pickup,Summer,PROD2243
244,ORD3243,100,Yes,Yes,2-Day Shipping,Winter,PROD2244
245,ORD3244,42,Yes,Yes,2-Day Shipping,Spring,PROD2245
246,ORD3245,53,Yes,Yes,Next Day Air,Summer,PROD2246
247,ORD3246,86,Yes,Yes,Express,Spring,PROD2247
248,ORD3247,66,Yes,Yes,Standard,Spring,PROD2248
249,ORD3248,100,Yes,Yes,Express,Winter,PROD2249
250,ORD3249,47,Yes,Yes,Standard,Fall,PROD2250
251,ORD3250,25,Yes,Yes,Express,Fall,PROD2251
252,ORD3251,51,Yes,Yes,Standard,Winter,PROD2252
253,ORD3252,41,Yes,Yes,Free Shipping,Summer,PROD2253
254,ORD3253,73,Yes,Yes,2-Day Shipping,Winter,PROD2254
255,ORD3254,42,Yes,Yes,Store Pickup,Winter,PROD2255
256,ORD3255,20,Yes,Yes,Free Shipping,Spring,PROD2256
257,ORD3256,30,Yes,Yes,Express,Spring,PROD2257
258,ORD3257,53,Yes,Yes,Express,Summer,PROD2258
259,ORD3258,74,Yes,Yes,Express,Spring,PROD2259
260,ORD3259,57,Yes,Yes,Standard,Fall,PROD2260
261,ORD3260,57,Yes,Yes,2-Day Shipping,Winter,PROD2261
262,ORD3261,77,Yes,Yes,Standard,Winter,PROD2262
263,ORD3262,40,Yes,Yes,Next Day Air,Summer,PROD2263
264,ORD3263,46,Yes,Yes,Store Pickup,Summer,PROD2264
265,ORD3264,78,Yes,Yes,Store Pickup,Fall,PROD2265
266,ORD3265,59,Yes,Yes,2-Day Shipping,Spring,PROD2266
267,ORD3266,75,Yes,Yes,Express,Summer,PROD2267
268,ORD3267,54,Yes,Yes,2-Day Shipping,Spring,PROD2268
269,ORD3268,42,Yes,Yes,Store Pickup,Spring,PROD2269
270,ORD3269,44,Yes,Yes,Next Day Air,Winter,PROD2270
271,ORD3270,52,Yes,Yes,Free Shipping,Fall,PROD2271
272,ORD3271,69,Yes,Yes,Express,Summer,PROD2272
273,ORD3272,26,Yes,Yes,2-Day Shipping,Summer,PROD2273
274,ORD3273,33,Yes,Yes,Express,Spring,PROD2274
275,ORD3274,32,Yes,Yes,Express,Spring,PROD2275
276,ORD3275,85,Yes,Yes,Express,Winter,PROD2276
277,ORD3276,30,Yes,Yes,Express,Fall,PROD2277
278,ORD3277,29,Yes,Yes,Store Pickup,Winter,PROD2278
279,ORD3278,95,Yes,Yes,Express,Spring,PROD2279
280,ORD3279,69,Yes,Yes,Standard,Summer,PROD2280
281,ORD3280,69,Yes,Yes,2-Day Shipping,Fall,PROD2281
282,ORD3281,61,Yes,Yes,Standard,Spring,PROD2282
283,ORD3282,94,Yes,Yes,2-Day Shipping,Summer,PROD2283
284,ORD3283,30,Yes,Yes,Next Day Air,Fall,PROD2284
285,ORD3284,45,Yes,Yes,Standard,Summer,PROD2285
286,ORD3285,39,Yes,Yes,Express,Summer,PROD2286
287,ORD3286,51,Yes,Yes,Store Pickup,Summer,PROD2287
288,ORD3287,37,Yes,Yes,2-Day Shipping,Spring,PROD2288
289,ORD3288,62,Yes,Yes,2-Day Shipping,Winter,PROD2289
290,ORD3289,85,Yes,Yes,2-Day Shipping,Fall,PROD2290
291,ORD3290,33,Yes,Yes,Standard,Winter,PROD2291
292,ORD3291,26,Yes,Yes,Next Day Air,Fall,PROD2292
293,ORD3292,99,Yes,Yes,Free Shipping,Spring,PROD2293
294,ORD3293,39,Yes,Yes,Express,Spring,PROD2294
295,ORD3294,20,Yes,Yes,Store Pickup,Spring,PROD2295
296,ORD3295,42,Yes,Yes,Store Pickup,Winter,PROD2296
297,ORD3296,74,Yes,Yes,2-Day Shipping,Spring,PROD2297
298,ORD3297,26,Yes,Yes,Standard,Summer,PROD2298
299,ORD3298,53,Yes,Yes,Standard,Winter,PROD2299
300,ORD3299,80,Yes,Yes,Next Day Air,Summer,PROD2300
301,ORD3300,98,Yes,Yes,Store Pickup,Spring,PROD2301
302,ORD3301,95,Yes,Yes,Standard,Spring,PROD2302
303,ORD3302,44,Yes,Yes,Express,Summer,PROD2303
304,ORD3303,60,Yes,Yes,Next Day Air,Summer,PROD2304
305,ORD3304,84,Yes,Yes,Next Day Air,Winter,PROD2305
306,ORD3305,59,Yes,Yes,2-Day Shipping,Fall,PROD2306
307,ORD3306,49,Yes,Yes,Express,Summer,PROD2307
308,ORD3307,32,Yes,Yes,Free Shipping,Winter,PROD2308
309,ORD3308,29,Yes,Yes,Standard,Fall,PROD2309
310,ORD3309,22,Yes,Yes,Standard,Spring,PROD2310
311,ORD3310,85,Yes,Yes,Standard,Winter,PROD2311
312,ORD3311,52,Yes,Yes,Store Pickup,Winter,PROD2312
313,ORD3312,89,Yes,Yes,Next Day Air,Spring,PROD2313
314,ORD3313,77,Yes,Yes,Express,Spring,PROD2314
315,ORD3314,24,Yes,Yes,Store Pickup,Summer,PROD2315
316,ORD3315,24,Yes,Yes,Express,Spring,PROD2316
317,ORD3316,22,Yes,Yes,Free Shipping,Fall,PROD2317
318,ORD3317,82,Yes,Yes,Standard,Fall,PROD2318
319,ORD3318,67,Yes,Yes,Standard,Winter,PROD2319
320,ORD3319,74,Yes,Yes,Standard,Spring,PROD2320
321,ORD3320,72,Yes,Yes,Standard,Summer,PROD2321
322,ORD3321,36,Yes,Yes,Free Shipping,Summer,PROD2322
323,ORD3322,95,Yes,Yes,Standard,Winter,PROD2323
324,ORD3323,78,Yes,Yes,Next Day Air,Winter,PROD2324
325,ORD3324,82,Yes,Yes,Standard,Summer,PROD2325
326,ORD3325,70,Yes,Yes,Free Shipping,Winter,PROD2326
327,ORD3326,41,Yes,Yes,Store Pickup,Fall,PROD2327
328,ORD3327,42,Yes,Yes,Free Shipping,Summer,PROD2328
329,ORD3328,50,Yes,Yes,Free Shipping,Fall,PROD2329
330,ORD3329,31,Yes,Yes,2-Day Shipping,Summer,PROD2330
331,ORD3330,51,Yes,Yes,Express,Winter,PROD2331
332,ORD3331,98,Yes,Yes,Store Pickup,Fall,PROD2332
333,ORD3332,86,Yes,Yes,2-Day Shipping,Winter,PROD2333
334,ORD3333,64,Yes,Yes,Standard,Winter,PROD2334
335,ORD3334,46,Yes,Yes,Next Day Air,Fall,PROD2335
336,ORD3335,85,Yes,Yes,Standard,Spring,PROD2336
337,ORD3336,81,Yes,Yes,Express,Fall,PROD2337
338,ORD3337,59,Yes,Yes,2-Day Shipping,Winter,PROD2338
339,ORD3338,79,Yes,Yes,Express,Winter,PROD2339
340,ORD3339,33,Yes,Yes,2-Day Shipping,Spring,PROD2340
341,ORD3340,47,Yes,Yes,Express,Summer,PROD2341
342,ORD3341,20,Yes,Yes,Store Pickup,Summer,PROD2342
343,ORD3342,36,Yes,Yes,Next Day Air,Spring,PROD2343
344,ORD3343,39,Yes,Yes,Next Day Air,Summer,PROD2344
345,ORD3344,71,Yes,Yes,Standard,Winter,PROD2345
346,ORD3345,59,Yes,Yes,Next Day Air,Winter,PROD2346
347,ORD3346,50,Yes,Yes,Next Day Air,Spring,PROD2347
348,ORD3347,41,Yes,Yes,Store Pickup,Fall,PROD2348
349,ORD3348,59,Yes,Yes,Free Shipping,Fall,PROD2349
350,ORD3349,87,Yes,Yes,2-Day Shipping,Winter,PROD2350
351,ORD3350,68,Yes,Yes,2-Day Shipping,Spring,PROD2351
352,ORD3351,90,Yes,Yes,Standard,Winter,PROD2352
353,ORD3352,71,Yes,Yes,Next Day Air,Fall,PROD2353
354,ORD3353,64,Yes,Yes,Store Pickup,Fall,PROD2354
355,ORD3354,76,Yes,Yes,Free Shipping,Fall,PROD2355
356,ORD3355,42,Yes,Yes,2-Day Shipping,Fall,PROD2356
357,ORD3356,80,Yes,Yes,Standard,Spring,PROD2357
358,ORD3357,56,Yes,Yes,Standard,Spring,PROD2358
359,ORD3358,25,Yes,Yes,Express,Summer,PROD2359
360,ORD3359,74,Yes,Yes,Store Pickup,Winter,PROD2360
361,ORD3360,30,Yes,Yes,Standard,Summer,PROD2361
362,ORD3361,96,Yes,Yes,Free Shipping,Spring,PROD2362
363,ORD3362,64,Yes,Yes,Free Shipping,Fall,PROD2363
364,ORD3363,88,Yes,Yes,Free Shipping,Winter,PROD2364
365,ORD3364,88,Yes,Yes,Free Shipping,Summer,PROD2365
366,ORD3365,88,Yes,Yes,Standard,Summer,PROD2366
367,ORD3366,36,Yes,Yes,Store Pickup,Spring,PROD2367
368,ORD3367,40,Yes,Yes,Store Pickup,Spring,PROD2368
369,ORD3368,39,Yes,Yes,Standard,Spring,PROD2369
370,ORD3369,40,Yes,Yes,Store Pickup,Summer,PROD2370
371,ORD3370,34,Yes,Yes,Express,Winter,PROD2371
372,ORD3371,83,Yes,Yes,2-Day Shipping,Winter,PROD2372
373,ORD3372,85,Yes,Yes,Standard,Summer,PROD2373
374,ORD3373,27,Yes,Yes,Express,Summer,PROD2374
375,ORD3374,78,Yes,Yes,Store Pickup,Spring,PROD2375
376,ORD3375,32,Yes,Yes,Standard,Summer,PROD2376
377,ORD3376,51,Yes,Yes,Express,Fall,PROD2377
378,ORD3377,32,Yes,Yes,Standard,Spring,PROD2378
379,ORD3378,62,Yes,Yes,Next Day Air,Winter,PROD2379
380,ORD3379,29,Yes,Yes,2-Day Shipping,Fall,PROD2380
381,ORD3380,69,Yes,Yes,Store Pickup,Fall,PROD2381
382,ORD3381,25,Yes,Yes,Store Pickup,Winter,PROD2382
383,ORD3382,76,Yes,Yes,Store Pickup,Winter,PROD2383
384,ORD3383,77,Yes,Yes,Standard,Fall,PROD2384
385,ORD3384,33,Yes,Yes,2-Day Shipping,Fall,PROD2385
386,ORD3385,93,Yes,Yes,Next Day Air,Fall,PROD2386
387,ORD3386,39,Yes,Yes,Express,Spring,PROD2387
388,ORD3387,93,Yes,Yes,Store Pickup,Summer,PROD2388
389,ORD3388,82,Yes,Yes,Store Pickup,Summer,PROD2389
390,ORD3389,42,Yes,Yes,Standard,Spring,PROD2390
391,ORD3390,71,Yes,Yes,2-Day Shipping,Winter,PROD2391
392,ORD3391,86,Yes,Yes,Standard,Spring,PROD2392
393,ORD3392,82,Yes,Yes,Next Day Air,Spring,PROD2393
394,ORD3393,65,Yes,Yes,Standard,Fall,PROD2394
395,ORD3394,29,Yes,Yes,Store Pickup,Spring,PROD2395
396,ORD3395,65,Yes,Yes,Store Pickup,Winter,PROD2396
397,ORD3396,88,Yes,Yes,Standard,Fall,PROD2397
398,ORD3397,46,Yes,Yes,Free Shipping,Fall,PROD2398
399,ORD3398,67,Yes,Yes,Free Shipping,Winter,PROD2399
400,ORD3399,35,Yes,Yes,2-Day Shipping,Fall,PROD2400
401,ORD3400,66,Yes,Yes,Free Shipping,Winter,PROD2401
402,ORD3401,91,Yes,Yes,Standard,Fall,PROD2402
403,ORD3402,78,Yes,Yes,Express,Fall,PROD2403
404,ORD3403,45,Yes,Yes,Next Day Air,Winter,PROD2404
405,ORD3404,93,Yes,Yes,Store Pickup,Spring,PROD2405
406,ORD3405,74,Yes,Yes,Standard,Summer,PROD2406
407,ORD3406,55,Yes,Yes,Express,Spring,PROD2407
