Customer ID,Age,Gender,Subscription Status,Location,Previous Purchases,Frequency of Purchases,Payment Method
57,41,Male,Yes,Mississippi,46,Weekly,PayPal
58,21,Male,Yes,West Virginia,17,Fortnightly,PayPal
59,69,Male,Yes,Missouri,29,Monthly,Credit Card
60,63,Male,Yes,Louisiana,4,Weekly,Debit Card
61,50,Male,Yes,Idaho,17,Weekly,Credit Card
62,55,Male,Yes,Texas,21,Every 3 Months,Bank Transfer
63,30,Male,Yes,Mississippi,31,Fortnightly,Credit Card
64,33,Male,Yes,Arizona,43,Weekly,Credit Card
65,65,Male,Yes,Alabama,18,Fortnightly,PayPal
66,65,Male,Yes,New Jersey,44,Every 3 Months,Credit Card
67,31,Male,Yes,Pennsylvania,3,Every 3 Months,Bank Transfer
68,45,Male,Yes,Connecticut,49,Monthly,PayPal
69,57,Male,Yes,Utah,21,Every 3 Months,Credit Card
70,48,Male,Yes,Tennessee,5,Weekly,Credit Card
71,22,Male,Yes,Alabama,32,Every 3 Months,Credit Card
72,36,Male,Yes,Virginia,34,Annually,Debit Card
73,18,Male,Yes,Georgia,21,Every 3 Months,Debit Card
74,48,Male,Yes,Hawaii,43,Bi-Weekly,Debit Card
75,49,Male,Yes,Indiana,3,Monthly,PayPal
76,64,Male,Yes,Utah,21,Annually,Debit Card
77,50,Male,Yes,Delaware,32,Monthly,Bank Transfer
78,22,Male,Yes,Delaware,36,Fortnightly,Debit Card
79,50,Male,Yes,Nebraska,50,Fortnightly,Venmo
80,38,Male,Yes,Iowa,43,Every 3 Months,Bank Transfer
81,19,Male,Yes,New York,24,Every 3 Months,Credit Card
82,67,Male,Yes,Virginia,36,Every 3 Months,PayPal
83,19,Male,Yes,Georgia,21,Every 3 Months,Bank Transfer
84,36,Male,Yes,Texas,34,Weekly,Debit Card
85,52,Male,Yes,Arizona,42,Every 3 Months,Cash
86,53,Male,Yes,New Mexico,2,Bi-Weekly,Credit Card
87,24,Male,Yes,Nevada,47,Bi-Weekly,Venmo
88,52,Male,Yes,Ohio,44,Fortnightly,Debit Card
89,33,Male,Yes,Wyoming,35,Monthly,Credit Card
90,47,Male,Yes,California,15,Quarterly,Bank Transfer
91,25,Male,Yes,South Carolina,29,Monthly,Venmo
92,44,Male,Yes,South Carolina,18,Every 3 Months,PayPal
93,61,Male,Yes,Texas,13,Every 3 Months,Cash
94,37,Male,Yes,Florida,46,Weekly,PayPal
95,58,Male,Yes,Nevada,28,Weekly,Bank Transfer
96,37,Male,Yes,Missouri,48,Monthly,PayPal
97,32,Male,Yes,Delaware,43,Every 3 Months,Venmo
98,21,Male,Yes,Virginia,37,Annually,PayPal
99,20,Male,Yes,New York,20,Annually,Cash
100,26,Male,Yes,Missouri,33,Quarterly,Cash
101,62,Male,Yes,South Dakota,31,Fortnightly,PayPal
102,27,Male,Yes,North Dakota,50,Bi-Weekly,Venmo
103,51,Male,Yes,Oklahoma,35,Quarterly,Credit Card
104,54,Male,Yes,West Virginia,22,Bi-Weekly,Debit Card
105,55,Male,Yes,New Hampshire,1,Monthly,Bank Transfer
106,69,Male,Yes,New York,4,Annually,Bank Transfer
107,64,Male,Yes,Minnesota,31,Monthly,Cash
108,28,Male,Yes,Maryland,46,Fortnightly,Cash
109,70,Male,Yes,Montana,32,Bi-Weekly,Bank Transfer
110,58,Male,Yes,Alabama,43,Fortnightly,Cash
111,56,Male,Yes,New York,26,Fortnightly,Bank Transfer
112,26,Male,Yes,Massachusetts,9,Annually,PayPal
113,37,Male,Yes,Florida,28,Bi-Weekly,Credit Card
114,44,Male,Yes,New Jersey,20,Quarterly,Debit Card
115,70,Male,Yes,Massachusetts,9,Weekly,Venmo
116,53,Male,Yes,Wyoming,48,Every 3 Months,Cash
117,55,Male,Yes,Virginia,12,Annually,PayPal
118,50,Male,Yes,South Dakota,29,Fortnightly,Bank Transfer
119,50,Male,Yes,Kentucky,27,Bi-Weekly,Bank Transfer
120,38,Male,Yes,Wyoming,44,Annually,Debit Card
121,64,Male,Yes,West Virginia,32,Annually,PayPal
122,19,Male,Yes,Virginia,11,Fortnightly,Cash
123,40,Male,Yes,Washington,44,Fortnightly,Credit Card
124,57,Male,Yes,Louisiana,46,Weekly,Debit Card
125,44,Male,Yes,Nevada,50,Annually,PayPal
126,49,Male,Yes,California,45,Every 3 Months,Cash
127,43,Male,Yes,Mississippi,48,Every 3 Months,Bank Transfer
128,24,Male,Yes,Mississippi,26,Weekly,Venmo
129,20,Male,Yes,California,21,Fortnightly,Venmo
130,24,Male,Yes,Pennsylvania,49,Bi-Weekly,Cash
131,44,Male,Yes,Kentucky,13,Fortnightly,Credit Card
132,28,Male,Yes,Maine,46,Weekly,PayPal
133,30,Male,Yes,New Mexico,42,Weekly,Bank Transfer
134,52,Male,Yes,Montana,25,Annually,Bank Transfer
135,43,Male,Yes,Texas,25,Monthly,Credit Card
136,43,Male,Yes,Kansas,12,Quarterly,PayPal
137,39,Male,Yes,South Carolina,4,Quarterly,Credit Card
138,68,Male,Yes,Colorado,38,Weekly,Cash
139,68,Male,Yes,Georgia,42,Weekly,Cash
140,49,Male,Yes,Florida,30,Annually,Debit Card
141,63,Male,Yes,North Carolina,50,Weekly,Bank Transfer
142,56,Male,Yes,Virginia,45,Weekly,PayPal
143,37,Male,Yes,Nebraska,33,Fortnightly,PayPal
144,30,Male,Yes,Missouri,25,Quarterly,Bank Transfer
145,19,Male,Yes,New Jersey,25,Monthly,Credit Card
146,24,Male,Yes,Missouri,44,Quarterly,Venmo
147,52,Male,Yes,Colorado,21,Fortnightly,Debit Card
148,63,Male,Yes,Idaho,31,Fortnightly,Bank Transfer
149,37,Male,Yes,Wyoming,47,Annually,PayPal
150,38,Male,Yes,Delaware,14,Monthly,Venmo
151,35,Male,Yes,California,17,Every 3 Months,Bank Transfer
152,28,Male,Yes,North Dakota,3,Annually,Debit Card
153,30,Male,Yes,South Carolina,42,Annually,PayPal
154,69,Male,Yes,North Carolina,22,Annually,Debit Card
155,41,Male,Yes,Oklahoma,21,Quarterly,Debit Card
156,63,Male,Yes,Maine,21,Quarterly,Cash
157,35,Male,Yes,Missouri,40,Annually,Venmo
158,36,Male,Yes,Vermont,1,Fortnightly,Debit Card
159,25,Male,Yes,Connecticut,50,Monthly,Bank Transfer
160,58,Male,Yes,New Hampshire,39,Every 3 Months,Debit Card
161,27,Male,Yes,Texas,34,Monthly,Bank Transfer
162,65,Male,Yes,North Dakota,29,Fortnightly,Venmo
163,54,Male,Yes,California,31,Bi-Weekly,Credit Card
164,54,Male,Yes,Virginia,8,Weekly,PayPal
165,59,Male,Yes,Delaware,5,Fortnightly,Debit Card
166,42,Male,Yes,Kentucky,7,Monthly,Credit Card
167,46,Male,Yes,Delaware,30,Monthly,Cash
168,33,Male,Yes,Arkansas,14,Every 3 Months,Venmo
169,34,Male,Yes,Louisiana,5,Fortnightly,Bank Transfer
170,27,Male,Yes,Nevada,3,Every 3 Months,Credit Card
171,52,Male,Yes,Wyoming,46,Bi-Weekly,Venmo
172,29,Male,Yes,Virginia,4,Weekly,Debit Card
173,54,Male,Yes,Nebraska,42,Bi-Weekly,Bank Transfer
174,25,Male,Yes,Hawaii,30,Annually,PayPal
175,41,Male,Yes,Vermont,37,Annually,Venmo
176,53,Male,Yes,Oklahoma,2,Annually,Debit Card
177,53,Male,Yes,New Hampshire,30,Quarterly,Bank Transfer
178,21,Male,Yes,Kansas,47,Monthly,Debit Card
179,61,Male,Yes,Idaho,21,Quarterly,Debit Card
180,64,Male,Yes,Illinois,9,Fortnightly,Debit Card
181,51,Male,Yes,South Dakota,12,Fortnightly,Cash
182,32,Male,Yes,Massachusetts,4,Weekly,Venmo
183,38,Male,Yes,Alabama,10,Annually,Venmo
184,58,Male,Yes,Ohio,26,Weekly,Bank Transfer
185,32,Male,Yes,Hawaii,40,Fortnightly,Cash
186,46,Male,Yes,Wisconsin,34,Fortnightly,Bank Transfer
187,39,Male,Yes,Minnesota,31,Annually,Debit Card
188,19,Male,Yes,Georgia,1,Bi-Weekly,Credit Card
189,50,Male,Yes,Arkansas,5,Bi-Weekly,Credit Card
190,36,Male,Yes,West Virginia,4,Weekly,Venmo
191,65,Male,Yes,Indiana,48,Quarterly,Venmo
192,64,Male,Yes,Utah,29,Every 3 Months,Credit Card
193,46,Male,Yes,Nebraska,12,Bi-Weekly,Venmo
194,36,Male,Yes,North Dakota,29,Annually,PayPal
195,51,Male,Yes,Missouri,15,Quarterly,Venmo
196,51,Male,Yes,New York,34,Monthly,Credit Card
197,38,Male,Yes,Washington,41,Fortnightly,Cash
198,59,Male,Yes,South Carolina,41,Monthly,Debit Card
199,57,Male,Yes,Utah,39,Fortnightly,Cash
200,54,Male,Yes,Idaho,32,Weekly,Debit Card
201,25,Male,Yes,Pennsylvania,29,Monthly,PayPal
202,69,Male,Yes,Missouri,15,Annually,Bank Transfer
203,57,Male,Yes,Nebraska,33,Annually,Bank Transfer
204,70,Male,Yes,Indiana,18,Weekly,PayPal
205,24,Male,Yes,Arizona,35,Bi-Weekly,PayPal
206,67,Male,Yes,Hawaii,25,Weekly,Bank Transfer
207,24,Male,Yes,Wisconsin,6,Fortnightly,Venmo
208,62,Male,Yes,Rhode Island,17,Bi-Weekly,Venmo
209,57,Male,Yes,Wisconsin,17,Monthly,Cash
210,55,Male,Yes,Minnesota,44,Every 3 Months,Bank Transfer
211,45,Male,Yes,Vermont,6,Fortnightly,Venmo
212,69,Male,Yes,South Dakota,45,Fortnightly,Venmo
213,67,Male,Yes,Virginia,7,Annually,Venmo
214,30,Male,Yes,Nevada,11,Every 3 Months,Cash
215,24,Male,Yes,Hawaii,41,Every 3 Months,Cash
216,62,Male,Yes,New Jersey,24,Bi-Weekly,Bank Transfer
217,43,Male,Yes,Massachusetts,21,Weekly,Cash
218,35,Male,Yes,Oklahoma,24,Annually,Venmo
219,28,Male,Yes,California,8,Quarterly,Credit Card
220,32,Male,Yes,Nevada,12,Fortnightly,Venmo
221,39,Male,Yes,Arizona,48,Fortnightly,Debit Card
222,28,Male,Yes,North Carolina,6,Quarterly,Debit Card
223,47,Male,Yes,New York,14,Fortnightly,Venmo
224,20,Male,Yes,Wyoming,34,Annually,Venmo
225,63,Male,Yes,South Dakota,12,Every 3 Months,PayPal
226,25,Male,Yes,Arkansas,11,Annually,Debit Card
227,29,Male,Yes,Texas,5,Monthly,Cash
228,50,Male,Yes,Rhode Island,25,Fortnightly,Venmo
229,18,Male,Yes,New Hampshire,11,Annually,Credit Card
230,70,Male,Yes,Ohio,27,Every 3 Months,Cash
231,66,Male,Yes,Utah,43,Annually,Venmo
232,28,Male,Yes,Tennessee,18,Every 3 Months,Bank Transfer
233,54,Male,Yes,Hawaii,32,Bi-Weekly,Bank Transfer
234,19,Male,Yes,Arizona,27,Every 3 Months,PayPal
235,20,Male,Yes,South Dakota,24,Weekly,PayPal
236,43,Male,Yes,New Jersey,31,Quarterly,Cash
237,38,Male,Yes,North Dakota,39,Fortnightly,Debit Card
238,50,Male,Yes,Iowa,36,Fortnightly,Venmo
239,64,Male,Yes,Ohio,5,Annually,Debit Card
240,49,Male,Yes,Vermont,47,Bi-Weekly,PayPal
241,47,Male,Yes,Montana,29,Fortnightly,Credit Card
242,36,Male,Yes,Delaware,43,Bi-Weekly,PayPal
243,55,Male,Yes,New York,40,Every 3 Months,Credit Card
244,25,Male,Yes,Kentucky,4,Monthly,Credit Card
245,53,Male,Yes,Oregon,39,Weekly,Debit Card
246,49,Male,Yes,Rhode Island,45,Fortnightly,Cash
247,35,Male,Yes,Nevada,20,Bi-Weekly,Credit Card
248,29,Male,Yes,Montana,14,Weekly,Credit Card
249,47,Male,Yes,Pennsylvania,33,Weekly,Venmo
250,53,Male,Yes,Alaska,18,Annually,Cash
251,33,Male,Yes,Mississippi,9,Weekly,Debit Card
252,21,Male,Yes,Wyoming,34,Annually,PayPal
253,32,Male,Yes,Delaware,33,Fortnightly,Cash
254,52,Male,Yes,Oklahoma,15,Bi-Weekly,PayPal
255,67,Male,Yes,Indiana,4,Bi-Weekly,Credit Card
256,43,Male,Yes,Maryland,25,Annually,Debit Card
257,58,Male,Yes,South Dakota,20,Every 3 Months,Venmo
258,20,Male,Yes,West Virginia,5,Quarterly,PayPal
259,61,Male,Yes,Alabama,16,Quarterly,Venmo
260,32,Male,Yes,Louisiana,13,Annually,Credit Card
261,38,Male,Yes,Montana,11,Every 3 Months,Bank Transfer
262,21,Male,Yes,California,21,Annually,Cash
263,37,Male,Yes,Hawaii,6,Annually,Cash
264,27,Male,Yes,Iowa,29,Monthly,Credit Card
265,36,Male,Yes,Colorado,15,Annually,Venmo
266,32,Male,Yes,Michigan,17,Bi-Weekly,Venmo
267,51,Male,Yes,Louisiana,32,Weekly,Cash
268,64,Male,Yes,Maryland,42,Annually,Venmo
269,68,Male,Yes,Georgia,21,Monthly,Venmo
270,68,Male,Yes,Georgia,9,Bi-Weekly,PayPal
271,33,Male,Yes,North Dakota,16,Annually,Debit Card
272,65,Male,Yes,Maryland,42,Fortnightly,Credit Card
273,48,Male,Yes,Oregon,37,Bi-Weekly,PayPal
274,69,Male,Yes,North Dakota,32,Quarterly,Cash
275,59,Male,Yes,Maryland,28,Bi-Weekly,Credit Card
276,48,Male,Yes,Virginia,13,Weekly,Debit Card
277,25,Male,Yes,South Dakota,11,Fortnightly,Debit Card
278,29,Male,Yes,Georgia,36,Bi-Weekly,Credit Card
279,57,Male,Yes,Hawaii,23,Annually,Bank Transfer
280,23,Male,Yes,Arkansas,37,Monthly,Credit Card
281,45,Male,Yes,Montana,21,Bi-Weekly,Debit Card
282,38,Male,Yes,Oklahoma,22,Bi-Weekly,Bank Transfer
283,21,Male,Yes,Minnesota,9,Monthly,Debit Card
284,32,Male,Yes,Montana,16,Annually,Debit Card
285,63,Male,Yes,Ohio,4,Quarterly,PayPal
286,29,Male,Yes,Kentucky,3,Bi-Weekly,Credit Card
287,27,Male,Yes,Nebraska,6,Annually,Cash
288,56,Male,Yes,Delaware,18,Fortnightly,Cash
289,30,Male,Yes,North Carolina,34,Bi-Weekly,Credit Card
290,49,Male,Yes,New York,26,Monthly,Debit Card
291,58,Male,Yes,Colorado,50,Weekly,Bank Transfer
292,57,Male,Yes,Delaware,40,Monthly,Credit Card
293,60,Male,Yes,Utah,24,Quarterly,Credit Card
294,69,Male,Yes,Connecticut,33,Annually,PayPal
295,70,Male,Yes,New Jersey,19,Every 3 Months,Cash
296,53,Male,Yes,West Virginia,24,Quarterly,Venmo
297,25,Male,Yes,Indiana,19,Weekly,PayPal
298,48,Male,Yes,Delaware,4,Bi-Weekly,Bank Transfer
299,69,Male,Yes,Maryland,11,Every 3 Months,Cash
300,25,Male,Yes,Pennsylvania,28,Fortnightly,Credit Card
301,29,Male,Yes,Iowa,24,Weekly,Cash
302,46,Male,Yes,Pennsylvania,25,Every 3 Months,Debit Card
303,37,Male,Yes,Delaware,27,Every 3 Months,Venmo
304,20,Male,Yes,Oregon,49,Weekly,Cash
305,40,Male,Yes,Oregon,45,Bi-Weekly,Venmo
306,60,Male,Yes,Utah,26,Annually,Debit Card
307,26,Male,Yes,North Dakota,4,Annually,Debit Card
308,29,Male,Yes,Florida,3,Every 3 Months,Cash
309,66,Male,Yes,Maryland,45,Bi-Weekly,Bank Transfer
310,66,Male,Yes,Minnesota,21,Fortnightly,Bank Transfer
311,56,Male,Yes,Montana,50,Fortnightly,Debit Card
312,69,Male,Yes,Rhode Island,19,Monthly,Debit Card
313,38,Male,Yes,Massachusetts,6,Annually,Bank Transfer
314,42,Male,Yes,Vermont,50,Every 3 Months,PayPal
315,30,Male,Yes,New Jersey,17,Every 3 Months,PayPal
316,66,Male,Yes,Wisconsin,24,Annually,Venmo
317,36,Male,Yes,California,46,Monthly,Bank Transfer
318,58,Male,Yes,West Virginia,42,Every 3 Months,Bank Transfer
319,45,Male,Yes,South Dakota,10,Annually,PayPal
320,47,Male,Yes,Maine,1,Every 3 Months,Venmo
321,66,Male,Yes,Kansas,28,Quarterly,PayPal
322,41,Male,Yes,Vermont,48,Quarterly,Credit Card
323,41,Male,Yes,Tennessee,47,Monthly,Credit Card
324,66,Male,Yes,Tennessee,29,Bi-Weekly,Venmo
325,37,Male,Yes,Wyoming,37,Quarterly,Credit Card
326,70,Male,Yes,Vermont,38,Annually,Debit Card
327,62,Male,Yes,New Jersey,48,Weekly,Cash
328,61,Male,Yes,Iowa,36,Weekly,PayPal
329,48,Male,Yes,Florida,9,Weekly,Debit Card
330,70,Male,Yes,Nevada,34,Monthly,Debit Card
331,46,Male,Yes,North Dakota,43,Bi-Weekly,Bank Transfer
332,31,Male,Yes,Florida,46,Quarterly,Credit Card
333,19,Male,Yes,New York,5,Monthly,Cash
334,39,Male,Yes,Alaska,15,Bi-Weekly,Cash
335,41,Male,Yes,Kansas,30,Annually,PayPal
336,20,Male,Yes,Oregon,44,Every 3 Months,Cash
337,36,Male,Yes,Rhode Island,16,Annually,Debit Card
338,32,Male,Yes,New Mexico,16,Annually,Cash
339,69,Male,Yes,Massachusetts,16,Weekly,Venmo
340,40,Male,Yes,Pennsylvania,21,Every 3 Months,Credit Card
341,40,Male,Yes,New Jersey,39,Every 3 Months,Cash
342,20,Male,Yes,Utah,40,Bi-Weekly,Credit Card
343,64,Male,Yes,Kentucky,48,Every 3 Months,Bank Transfer
344,27,Male,Yes,Nebraska,26,Monthly,Cash
345,24,Male,Yes,Virginia,46,Monthly,PayPal
346,48,Male,Yes,Wyoming,27,Annually,Cash
347,49,Male,Yes,New Mexico,5,Weekly,Credit Card
348,36,Male,Yes,Oregon,43,Fortnightly,Credit Card
349,56,Male,Yes,South Carolina,17,Fortnightly,Bank Transfer
350,37,Male,Yes,Arizona,3,Bi-Weekly,Cash
351,42,Male,Yes,Kentucky,47,Fortnightly,Venmo
352,28,Male,Yes,New York,24,Bi-Weekly,Cash
353,27,Male,Yes,Texas,12,Every 3 Months,Venmo
354,63,Male,Yes,Missouri,35,Monthly,Credit Card
355,58,Male,Yes,Pennsylvania,42,Weekly,PayPal
356,37,Male,Yes,Oregon,1,Every 3 Months,Credit Card
357,56,Male,Yes,Nevada,27,Weekly,Debit Card
358,18,Male,Yes,Arkansas,16,Bi-Weekly,Bank Transfer
359,48,Male,Yes,Minnesota,36,Every 3 Months,Debit Card
360,31,Male,Yes,Georgia,30,Every 3 Months,Debit Card
361,51,Male,Yes,Rhode Island,18,Fortnightly,Bank Transfer
362,65,Male,Yes,Nevada,45,Annually,Bank Transfer
363,53,Male,Yes,Texas,1,Fortnightly,Cash
364,55,Male,Yes,Florida,42,Fortnightly,Cash
365,62,Male,Yes,North Dakota,7,Every 3 Months,Debit Card
366,55,Male,Yes,West Virginia,50,Quarterly,PayPal
367,64,Male,Yes,Nebraska,37,Fortnightly,Bank Transfer
368,52,Male,Yes,Tennessee,18,Monthly,Credit Card
369,24,Male,Yes,Oklahoma,29,Monthly,Venmo
370,38,Male,Yes,Wisconsin,45,Quarterly,Cash
371,59,Male,Yes,Oregon,13,Weekly,Credit Card
372,27,Male,Yes,North Carolina,47,Monthly,Bank Transfer
373,24,Male,Yes,Pennsylvania,7,Weekly,Credit Card
374,23,Male,Yes,North Dakota,11,Bi-Weekly,Bank Transfer
375,69,Male,Yes,Ohio,39,Monthly,Bank Transfer
376,59,Male,Yes,Oklahoma,6,Quarterly,Debit Card
377,51,Male,Yes,South Carolina,2,Bi-Weekly,PayPal
378,63,Male,Yes,Maine,39,Every 3 Months,Debit Card
379,54,Male,Yes,Nevada,23,Monthly,Cash
380,32,Male,Yes,Montana,46,Bi-Weekly,Debit Card
381,39,Male,Yes,New Hampshire,19,Weekly,PayPal
382,66,Male,Yes,Maine,3,Every 3 Months,Debit Card
383,28,Male,Yes,California,47,Quarterly,PayPal
384,50,Male,Yes,West Virginia,6,Quarterly,Credit Card
385,70,Male,Yes,California,6,Annually,Credit Card
386,67,Male,Yes,West Virginia,12,Bi-Weekly,Credit Card
387,64,Male,Yes,Louisiana,40,Quarterly,Cash
388,45,Male,Yes,Georgia,38,Fortnightly,Cash
389,22,Male,Yes,Washington,10,Quarterly,Credit Card
390,27,Male,Yes,Virginia,28,Monthly,Venmo
391,25,Male,Yes,Indiana,19,Annually,Debit Card
392,37,Male,Yes,Minnesota,25,Fortnightly,Cash
393,26,Male,Yes,Idaho,38,Annually,PayPal
394,33,Male,Yes,Vermont,6,Fortnightly,Credit Card
395,43,Male,Yes,North Dakota,7,Bi-Weekly,PayPal
396,37,Male,Yes,Rhode Island,2,Annually,Cash
397,46,Male,Yes,South Carolina,24,Annually,Bank Transfer
398,22,Male,Yes,Mississippi,26,Annually,Venmo
399,20,Male,Yes,Montana,25,Every 3 Months,PayPal
400,60,Male,Yes,Idaho,10,Monthly,Credit Card
401,39,Male,Yes,Utah,14,Fortnightly,Venmo
402,43,Male,Yes,Oklahoma,21,Quarterly,Bank Transfer
403,31,Male,Yes,California,26,Monthly,PayPal
404,19,Male,Yes,Nevada,12,Annually,Credit Card
405,35,Male,Yes,Delaware,11,Monthly,Credit Card
406,41,Male,Yes,South Carolina,15,Annually,Debit Card
407,52,Male,Yes,Maryland,13,Monthly,Debit Card
408,45,Male,Yes,North Carolina,5,Bi-Weekly,Debit Card
409,34,Male,Yes,Alabama,36,Fortnightly,Credit Card
410,35,Male,Yes,Minnesota,32,Monthly,Debit Card
411,29,Male,Yes,Virginia,1,Quarterly,Debit Card
412,59,Male,Yes,Michigan,15,Annually,Cash
413,24,Male,Yes,Maine,3,Weekly,Venmo
414,70,Male,Yes,Nevada,48,Monthly,Debit Card
415,29,Male,Yes,Wyoming,30,Weekly,Bank Transfer
416,67,Male,Yes,Connecticut,40,Monthly,Venmo
417,36,Male,Yes,Oregon,24,Fortnightly,Bank Transfer
418,23,Male,Yes,Mississippi,48,Quarterly,PayPal
419,18,Male,Yes,Illinois,27,Bi-Weekly,Cash
420,53,Male,Yes,Utah,14,Every 3 Months,Credit Card
421,32,Male,Yes,North Carolina,18,Bi-Weekly,Credit Card
422,38,Male,Yes,Kentucky,48,Bi-Weekly,Cash
423,47,Male,Yes,Minnesota,32,Annually,Bank Transfer
424,46,Male,Yes,New York,21,Bi-Weekly,Bank Transfer
425,66,Male,Yes,Illinois,42,Fortnightly,Credit Card
426,40,Male,Yes,North Dakota,4,Quarterly,Debit Card
427,43,Male,Yes,Louisiana,19,Quarterly,Cash
428,58,Male,Yes,Illinois,6,Quarterly,Cash
429,21,Male,Yes,Wyoming,2,Fortnightly,Venmo
430,42,Male,Yes,Washington,21,Fortnightly,Venmo
431,24,Male,Yes,Texas,40,Annually,Debit Card
432,43,Male,Yes,New Hampshire,33,Fortnightly,Credit Card
433,47,Male,Yes,Indiana,26,Weekly,Debit Card
434,49,Male,Yes,Alabama,23,Fortnightly,Bank Transfer
435,50,Male,Yes,Oklahoma,39,Every 3 Months,Bank Transfer
436,51,Male,Yes,Montana,42,Monthly,PayPal
437,40,Male,Yes,Tennessee,41,Weekly,Cash
438,45,Male,Yes,New Mexico,41,Annually,Credit Card
439,52,Male,Yes,Iowa,12,Fortnightly,Cash
440,62,Male,Yes,Idaho,31,Monthly,PayPal
441,20,Male,Yes,Oklahoma,34,Fortnightly,Debit Card
442,43,Male,Yes,Florida,32,Annually,Bank Transfer
443,29,Male,Yes,Michigan,31,Quarterly,Bank Transfer
444,22,Male,Yes,Hawaii,24,Annually,PayPal
445,48,Male,Yes,California,31,Annually,Debit Card
446,42,Male,Yes,Iowa,18,Annually,Bank Transfer
447,19,Male,Yes,West Virginia,15,Monthly,Bank Transfer
448,60,Male,Yes,Washington,7,Every 3 Months,Venmo
449,32,Male,Yes,Missouri,35,Fortnightly,Credit Card
450,26,Male,Yes,New York,35,Monthly,PayPal
451,25,Male,Yes,Connecticut,19,Monthly,Venmo
452,66,Male,Yes,Virginia,26,Fortnightly,Cash
453,45,Male,Yes,Missouri,39,Fortnightly,Debit Card
454,54,Male,Yes,Nebraska,22,Weekly,Cash
455,37,Male,Yes,New Jersey,14,Bi-Weekly,Debit Card
456,54,Male,Yes,Utah,50,Fortnightly,Credit Card
457,50,Male,Yes,North Carolina,33,Quarterly,Bank Transfer
458,25,Male,Yes,Rhode Island,48,Every 3 Months,Credit Card
459,47,Male,Yes,Arkansas,48,Monthly,Debit Card
