Item Purchased,Category,Size,Color,Season,Review Rating,Product_ID
Boots,Footwear,S,Green,Fall,4.8,PROD2065
Backpack,Accessories,M,Purple,Spring,4.8,PROD2066
Blouse,Clothing,S,Magenta,Winter,4.7,PROD2067
Coat,Outerwear,L,Gray,Winter,4.4,PROD2068
Handbag,Accessories,L,Silver,Summer,3.9,PROD2069
Belt,Accessories,S,Cyan,Summer,4.4,PROD2070
Belt,Accessories,M,Magenta,Fall,4.2,PROD2071
Dress,Clothing,L,Gold,Summer,2.9,PROD2072
Dress,Clothing,M,Olive,Winter,2.9,PROD2073
Pants,Clothing,M,Teal,Spring,2.7,PROD2074
Gloves,Accessories,L,Violet,Spring,4.5,PROD2075
Scarf,Accessories,M,Blue,Summer,2.7,PROD2076
Hat,Accessories,S,Teal,Summer,4.2,PROD2077
Dress,Clothing,L,Gold,Summer,3.3,PROD2078
Skirt,Clothing,M,Maroon,Spring,4.7,PROD2079
Jacket,Outerwear,M,Olive,Winter,2.6,PROD2080
Sandals,Footwear,XL,Blue,Summer,3.3,PROD2081
Shoes,Footwear,L,Maroon,Summer,2.6,PROD2082
Pants,Clothing,S,Olive,Spring,4,PROD2083
Dress,Clothing,M,Turquoise,Summer,4.1,PROD2084
Coat,Outerwear,S,Peach,Spring,4.4,PROD2085
Sunglasses,Accessories,M,Charcoal,Winter,4.5,PROD2086
Hoodie,Clothing,L,Pink,Spring,3.7,PROD2087
Shoes,Footwear,M,Green,Fall,3.7,PROD2088
T-shirt,Clothing,M,Orange,Fall,3.5,PROD2089
Jacket,Outerwear,XL,Pink,Fall,3.6,PROD2090
Hat,Accessories,L,Violet,Summer,2.9,PROD2091
Scarf,Accessories,S,Green,Winter,4.6,PROD2092
Jacket,Outerwear,M,Olive,Winter,4.4,PROD2093
Sweater,Clothing,M,Purple,Fall,4.5,PROD2094
Skirt,Clothing,S,Silver,Spring,4.6,PROD2095
Sneakers,Footwear,L,Pink,Fall,3.8,PROD2096
Gloves,Accessories,S,Gold,Spring,3.6,PROD2097
Shoes,Footwear,M,Teal,Winter,4.8,PROD2098
Jeans,Clothing,XL,Teal,Spring,2.6,PROD2099
Hoodie,Clothing,XL,Indigo,Summer,3.7,PROD2100
Sunglasses,Accessories,M,Maroon,Fall,2.7,PROD2101
Coat,Outerwear,XL,White,Spring,4.6,PROD2102
Socks,Clothing,L,Violet,Winter,4.8,PROD2103
Boots,Footwear,L,Red,Winter,4,PROD2104
Sunglasses,Accessories,L,Pink,Spring,4.4,PROD2105
Backpack,Accessories,M,Charcoal,Fall,3.6,PROD2106
Jacket,Outerwear,L,White,Summer,3.7,PROD2107
Sneakers,Footwear,L,Olive,Winter,3.1,PROD2108
Socks,Clothing,L,Purple,Spring,3.4,PROD2109
T-shirt,Clothing,M,Violet,Spring,2.6,PROD2110
Backpack,Accessories,M,Black,Summer,4,PROD2111
Belt,Accessories,L,Purple,Summer,5,PROD2112
Gloves,Accessories,M,Red,Spring,4.3,PROD2113
Hat,Accessories,L,Maroon,Winter,3.1,PROD2114
Coat,Outerwear,S,Blue,Summer,3.7,PROD2115
Skirt,Clothing,M,Gray,Spring,3.8,PROD2116
Shoes,Footwear,S,Blue,Spring,3.4,PROD2117
Sandals,Footwear,L,Yellow,Summer,4.6,PROD2118
Sweater,Clothing,L,Orange,Fall,4.8,PROD2119
Coat,Outerwear,M,Orange,Fall,4.3,PROD2120
Hat,Accessories,L,Red,Summer,4,PROD2121
Shorts,Clothing,M,Olive,Winter,4.2,PROD2122
Backpack,Accessories,L,Brown,Spring,4.8,PROD2123
Sweater,Clothing,L,Brown,Fall,3.1,PROD2124
Sweater,Clothing,M,Gray,Spring,3.1,PROD2125
Shorts,Clothing,M,Indigo,Winter,3.6,PROD2126
Shorts,Clothing,L,Pink,Spring,3.9,PROD2127
Sweater,Clothing,M,Gray,Winter,4.8,PROD2128
Scarf,Accessories,M,Gold,Spring,4.7,PROD2129
Dress,Clothing,XL,Olive,Summer,4.2,PROD2130
Scarf,Accessories,L,Violet,Fall,3.7,PROD2131
Skirt,Clothing,L,Indigo,Summer,3.9,PROD2132
Backpack,Accessories,M,Orange,Fall,4.7,PROD2133
Sweater,Clothing,M,Violet,Winter,2.5,PROD2134
Hat,Accessories,L,Gray,Fall,4.9,PROD2135
Sandals,Footwear,M,Purple,Fall,4.1,PROD2136
Blouse,Clothing,M,White,Winter,3.3,PROD2137
Sneakers,Footwear,M,Turquoise,Spring,4.7,PROD2138
Skirt,Clothing,M,Maroon,Winter,4.4,PROD2139
Coat,Outerwear,M,White,Fall,3.8,PROD2140
Shirt,Clothing,L,Yellow,Fall,3.9,PROD2141
Gloves,Accessories,M,Turquoise,Fall,4.9,PROD2142
Jacket,Outerwear,L,Violet,Fall,3.1,PROD2143
Coat,Outerwear,M,Beige,Fall,2.7,PROD2144
Shoes,Footwear,M,Silver,Fall,3.2,PROD2145
Jewelry,Accessories,M,Teal,Fall,4.5,PROD2146
Skirt,Clothing,S,Black,Fall,4,PROD2147
Shoes,Footwear,M,Purple,Summer,3.5,PROD2148
Gloves,Accessories,M,Gray,Fall,2.6,PROD2149
Pants,Clothing,M,White,Summer,3.2,PROD2150
Boots,Footwear,L,Cyan,Fall,4.9,PROD2151
Sunglasses,Accessories,L,Turquoise,Fall,4.5,PROD2152
Shirt,Clothing,S,Brown,Summer,4.3,PROD2153
Hoodie,Clothing,M,Maroon,Winter,3.2,PROD2154
Dress,Clothing,M,Charcoal,Fall,3.6,PROD2155
Socks,Clothing,S,Olive,Spring,4.3,PROD2156
Shorts,Clothing,M,Lavender,Fall,4,PROD2157
Hat,Accessories,S,Yellow,Fall,3,PROD2158
Shirt,Clothing,XL,Teal,Fall,4.1,PROD2159
Gloves,Accessories,M,Charcoal,Fall,3.8,PROD2160
Gloves,Accessories,M,Orange,Summer,4.6,PROD2161
Backpack,Accessories,M,Olive,Fall,3,PROD2162
Sunglasses,Accessories,M,Turquoise,Summer,3,PROD2163
Skirt,Clothing,M,Purple,Summer,3.4,PROD2164
Handbag,Accessories,S,Purple,Spring,2.6,PROD2165
Handbag,Accessories,S,Yellow,Winter,2.8,PROD2166
Sneakers,Footwear,XL,Indigo,Fall,4,PROD2167
Gloves,Accessories,M,Green,Fall,4,PROD2168
Shoes,Footwear,M,Magenta,Summer,3,PROD2169
Jacket,Outerwear,S,Gold,Summer,3.3,PROD2170
Shirt,Clothing,M,Maroon,Fall,2.6,PROD2171
Shorts,Clothing,M,Blue,Summer,3.6,PROD2172
Jewelry,Accessories,M,Violet,Summer,3.9,PROD2173
Hat,Accessories,M,Turquoise,Fall,3.4,PROD2174
Shoes,Footwear,L,Brown,Winter,3.5,PROD2175
Coat,Outerwear,L,Violet,Fall,2.8,PROD2176
Backpack,Accessories,L,Black,Spring,2.7,PROD2177
Hoodie,Clothing,L,Magenta,Fall,3.7,PROD2178
Skirt,Clothing,L,Lavender,Fall,4.3,PROD2179
Boots,Footwear,M,Violet,Fall,4.9,PROD2180
Sandals,Footwear,L,Green,Fall,3.3,PROD2181
Pants,Clothing,M,Beige,Summer,4.7,PROD2182
Gloves,Accessories,XL,Purple,Summer,2.8,PROD2183
Skirt,Clothing,XL,Beige,Spring,3.6,PROD2184
Sneakers,Footwear,L,Cyan,Spring,3,PROD2185
T-shirt,Clothing,XL,Silver,Summer,4.5,PROD2186
Backpack,Accessories,S,Lavender,Summer,2.9,PROD2187
Shoes,Footwear,S,Purple,Spring,3.3,PROD2188
Hoodie,Clothing,M,Pink,Spring,3.1,PROD2189
Blouse,Clothing,M,Maroon,Fall,4.4,PROD2190
Coat,Outerwear,XL,Beige,Fall,3,PROD2191
Hat,Accessories,M,Gray,Fall,3.9,PROD2192
Shoes,Footwear,L,Turquoise,Summer,2.9,PROD2193
Belt,Accessories,S,Silver,Fall,3,PROD2194
Backpack,Accessories,M,Olive,Spring,3.1,PROD2195
Jacket,Outerwear,M,Magenta,Fall,4.3,PROD2196
Boots,Footwear,M,Lavender,Summer,3.9,PROD2197
Scarf,Accessories,M,Black,Fall,3.2,PROD2198
Jewelry,Accessories,M,Turquoise,Winter,4.8,PROD2199
Hat,Accessories,XL,Green,Summer,3.8,PROD2200
Dress,Clothing,S,Teal,Summer,3.3,PROD2201
Blouse,Clothing,S,Beige,Fall,4.3,PROD2202
Hat,Accessories,L,Magenta,Spring,2.7,PROD2203
Scarf,Accessories,S,Yellow,Fall,3.2,PROD2204
Sneakers,Footwear,M,Yellow,Fall,4,PROD2205
Shirt,Clothing,M,Silver,Winter,3,PROD2206
T-shirt,Clothing,L,Silver,Summer,4.2,PROD2207
Gloves,Accessories,M,Silver,Summer,2.9,PROD2208
Skirt,Clothing,M,Gold,Spring,4.1,PROD2209
Sandals,Footwear,S,Olive,Winter,3.2,PROD2210
Jacket,Outerwear,L,Teal,Fall,3,PROD2211
Skirt,Clothing,L,Maroon,Fall,4.2,PROD2212
Handbag,Accessories,L,Blue,Fall,4.2,PROD2213
Handbag,Accessories,L,Peach,Fall,4.4,PROD2214
Jacket,Outerwear,L,Blue,Summer,4.2,PROD2215
Scarf,Accessories,S,Orange,Spring,2.8,PROD2216
Shorts,Clothing,L,Yellow,Spring,3.7,PROD2217
Sunglasses,Accessories,M,Purple,Winter,3.5,PROD2218
T-shirt,Clothing,S,Magenta,Spring,2.9,PROD2219
Belt,Accessories,M,Cyan,Spring,3,PROD2220
Sneakers,Footwear,S,Indigo,Spring,3.7,PROD2221
Hat,Accessories,XL,Magenta,Summer,4.4,PROD2222
Gloves,Accessories,XL,Gray,Spring,4.5,PROD2223
Pants,Clothing,M,Turquoise,Spring,4.8,PROD2224
Socks,Clothing,S,Beige,Summer,2.9,PROD2225
Jacket,Outerwear,M,Olive,Spring,3.2,PROD2226
Shoes,Footwear,L,Violet,Spring,3.3,PROD2227
Jeans,Clothing,M,Turquoise,Winter,4.2,PROD2228
Socks,Clothing,M,White,Spring,2.9,PROD2229
Sandals,Footwear,S,Silver,Spring,4.6,PROD2230
Scarf,Accessories,L,Olive,Fall,4.1,PROD2231
Blouse,Clothing,M,Blue,Spring,3.1,PROD2232
Jewelry,Accessories,L,Purple,Winter,4.2,PROD2233
Sweater,Clothing,XL,Yellow,Fall,4.5,PROD2234
Gloves,Accessories,S,Silver,Summer,3.7,PROD2235
Sunglasses,Accessories,M,Cyan,Winter,3.7,PROD2236
Coat,Outerwear,L,Green,Winter,3.4,PROD2237
Dress,Clothing,M,Beige,Summer,3,PROD2238
Skirt,Clothing,M,Peach,Fall,4.2,PROD2239
Pants,Clothing,L,Yellow,Summer,2.9,PROD2240
Sweater,Clothing,XL,Turquoise,Winter,3.5,PROD2241
Hoodie,Clothing,M,Peach,Winter,4.1,PROD2242
Coat,Outerwear,L,Gray,Summer,4.3,PROD2243
Jewelry,Accessories,M,Olive,Winter,2.8,PROD2244
Belt,Accessories,S,Indigo,Spring,4.9,PROD2245
Sandals,Footwear,L,Charcoal,Summer,3.3,PROD2246
Sunglasses,Accessories,XL,Beige,Spring,3.2,PROD2247
Sweater,Clothing,XL,Brown,Spring,4.4,PROD2248
Belt,Accessories,M,Blue,Winter,4.8,PROD2249
Handbag,Accessories,S,Teal,Fall,4.2,PROD2250
Skirt,Clothing,L,Black,Fall,4,PROD2251
Handbag,Accessories,XL,Gold,Winter,2.5,PROD2252
Shorts,Clothing,M,Violet,Summer,3.9,PROD2253
Boots,Footwear,L,Cyan,Winter,4.9,PROD2254
Sunglasses,Accessories,M,White,Winter,3.5,PROD2255
Scarf,Accessories,M,Charcoal,Spring,4.2,PROD2256
Jewelry,Accessories,XL,Violet,Spring,4.7,PROD2257
Handbag,Accessories,M,Red,Summer,4.5,PROD2258
Gloves,Accessories,S,Lavender,Spring,2.8,PROD2259
Jeans,Clothing,M,Gold,Fall,2.9,PROD2260
Hat,Accessories,S,Red,Winter,3.2,PROD2261
Jeans,Clothing,L,Magenta,Winter,4.9,PROD2262
Pants,Clothing,M,Teal,Summer,3.7,PROD2263
Shorts,Clothing,M,Purple,Summer,4.3,PROD2264
Pants,Clothing,S,Charcoal,Fall,3.9,PROD2265
Backpack,Accessories,M,Gray,Spring,3.2,PROD2266
Jewelry,Accessories,L,White,Summer,3.1,PROD2267
Sweater,Clothing,M,Olive,Spring,3.9,PROD2268
Shoes,Footwear,M,Charcoal,Spring,2.6,PROD2269
Blouse,Clothing,M,Charcoal,Winter,3.3,PROD2270
Jeans,Clothing,XL,Orange,Fall,4.6,PROD2271
Sunglasses,Accessories,XL,Yellow,Summer,4.6,PROD2272
Jewelry,Accessories,M,Beige,Summer,4.4,PROD2273
Coat,Outerwear,S,Silver,Spring,4.2,PROD2274
Jewelry,Accessories,M,Indigo,Spring,3,PROD2275
Backpack,Accessories,XL,Lavender,Winter,4,PROD2276
Skirt,Clothing,XL,Turquoise,Fall,3.5,PROD2277
Shirt,Clothing,M,Green,Winter,3,PROD2278
Sweater,Clothing,M,Orange,Spring,3.7,PROD2279
Sneakers,Footwear,L,Turquoise,Summer,4,PROD2280
Sandals,Footwear,S,Cyan,Fall,4.2,PROD2281
Belt,Accessories,XL,Charcoal,Spring,2.5,PROD2282
Skirt,Clothing,M,Teal,Summer,3,PROD2283
Sweater,Clothing,S,Maroon,Fall,3.2,PROD2284
Skirt,Clothing,M,Red,Summer,3.5,PROD2285
Handbag,Accessories,XL,Yellow,Summer,4.8,PROD2286
Jewelry,Accessories,L,Gray,Summer,2.6,PROD2287
Scarf,Accessories,L,Blue,Spring,3.4,PROD2288
T-shirt,Clothing,M,Lavender,Winter,3.7,PROD2289
Coat,Outerwear,M,Yellow,Fall,4.5,PROD2290
T-shirt,Clothing,M,Indigo,Winter,3.7,PROD2291
Dress,Clothing,XL,Violet,Fall,3.3,PROD2292
Shoes,Footwear,M,Green,Spring,4.7,PROD2293
Handbag,Accessories,M,White,Spring,2.7,PROD2294
Skirt,Clothing,M,Gold,Spring,4.6,PROD2295
Sunglasses,Accessories,M,Indigo,Winter,2.7,PROD2296
Sandals,Footwear,S,Lavender,Spring,4.8,PROD2297
Shoes,Footwear,XL,Purple,Summer,4.4,PROD2298
T-shirt,Clothing,M,Lavender,Winter,4,PROD2299
Sneakers,Footwear,M,Maroon,Summer,3.2,PROD2300
Hat,Accessories,M,Teal,Spring,4.4,PROD2301
Skirt,Clothing,M,Green,Spring,3.8,PROD2302
Sweater,Clothing,L,Olive,Summer,3.6,PROD2303
Sandals,Footwear,M,Turquoise,Summer,3.3,PROD2304
Dress,Clothing,M,Green,Winter,3.4,PROD2305
Sweater,Clothing,M,Teal,Fall,3.5,PROD2306
Jacket,Outerwear,S,White,Summer,3.6,PROD2307
Gloves,Accessories,M,Orange,Winter,3.2,PROD2308
Handbag,Accessories,M,Beige,Fall,3.7,PROD2309
Dress,Clothing,M,Yellow,Spring,4.5,PROD2310
Pants,Clothing,M,Charcoal,Winter,4.6,PROD2311
Jeans,Clothing,L,Silver,Winter,4.1,PROD2312
Pants,Clothing,L,Green,Spring,3.4,PROD2313
Dress,Clothing,M,Pink,Spring,3.7,PROD2314
Pants,Clothing,M,Purple,Summer,3.3,PROD2315
Jewelry,Accessories,XL,Orange,Spring,4.5,PROD2316
Handbag,Accessories,M,Charcoal,Fall,3.3,PROD2317
Sweater,Clothing,L,Teal,Fall,4.3,PROD2318
Backpack,Accessories,M,Beige,Winter,2.5,PROD2319
Shorts,Clothing,XL,White,Spring,2.6,PROD2320
Jewelry,Accessories,L,White,Summer,4.9,PROD2321
Sneakers,Footwear,L,Orange,Summer,4.7,PROD2322
Belt,Accessories,S,Cyan,Winter,3,PROD2323
Hoodie,Clothing,M,Orange,Winter,3.5,PROD2324
Shirt,Clothing,M,Olive,Summer,4.8,PROD2325
Pants,Clothing,M,Charcoal,Winter,4.3,PROD2326
Scarf,Accessories,M,White,Fall,3.2,PROD2327
Coat,Outerwear,M,Teal,Summer,3.1,PROD2328
Coat,Outerwear,M,Yellow,Fall,2.8,PROD2329
Socks,Clothing,S,White,Summer,2.9,PROD2330
Sweater,Clothing,M,Beige,Winter,3.7,PROD2331
Shirt,Clothing,L,Beige,Fall,3.3,PROD2332
Shirt,Clothing,M,Maroon,Winter,2.8,PROD2333
Sweater,Clothing,M,Teal,Winter,4.5,PROD2334
Blouse,Clothing,M,Lavender,Fall,2.6,PROD2335
Sweater,Clothing,L,Maroon,Spring,3.7,PROD2336
Hat,Accessories,S,Orange,Fall,4.4,PROD2337
Sweater,Clothing,M,Cyan,Winter,4.3,PROD2338
Hoodie,Clothing,M,Silver,Winter,3.5,PROD2339
Shorts,Clothing,M,Teal,Spring,3.8,PROD2340
Shorts,Clothing,L,Blue,Summer,3.5,PROD2341
Hat,Accessories,S,Blue,Summer,4.6,PROD2342
Coat,Outerwear,M,Olive,Spring,2.6,PROD2343
Sandals,Footwear,M,Purple,Summer,4.4,PROD2344
Skirt,Clothing,M,Charcoal,Winter,4,PROD2345
Shoes,Footwear,S,Olive,Winter,4.4,PROD2346
Jeans,Clothing,L,Violet,Spring,4.7,PROD2347
Sandals,Footwear,L,Red,Fall,3.9,PROD2348
Blouse,Clothing,M,Beige,Fall,2.7,PROD2349
Hat,Accessories,M,Green,Winter,3.7,PROD2350
Sweater,Clothing,M,Violet,Spring,2.6,PROD2351
Skirt,Clothing,M,Teal,Winter,3.9,PROD2352
Jeans,Clothing,XL,Yellow,Fall,4.9,PROD2353
Sneakers,Footwear,L,Yellow,Fall,4.1,PROD2354
Jewelry,Accessories,S,Olive,Fall,3,PROD2355
Jewelry,Accessories,XL,Magenta,Fall,4.1,PROD2356
Pants,Clothing,L,Black,Spring,3.8,PROD2357
Belt,Accessories,M,Olive,Spring,4,PROD2358
Hat,Accessories,XL,Magenta,Summer,3.6,PROD2359
Sneakers,Footwear,M,Olive,Winter,3,PROD2360
Pants,Clothing,M,Teal,Summer,3,PROD2361
T-shirt,Clothing,M,White,Spring,2.6,PROD2362
Sneakers,Footwear,M,Charcoal,Fall,3.4,PROD2363
Shorts,Clothing,L,Yellow,Winter,3.1,PROD2364
Shoes,Footwear,L,Charcoal,Summer,3,PROD2365
Gloves,Accessories,XL,Gray,Summer,3.7,PROD2366
Socks,Clothing,M,Turquoise,Spring,3.5,PROD2367
Dress,Clothing,XL,Cyan,Spring,2.8,PROD2368
Handbag,Accessories,M,Charcoal,Spring,4.5,PROD2369
Belt,Accessories,M,Silver,Summer,3.3,PROD2370
Scarf,Accessories,M,Olive,Winter,3.4,PROD2371
Sneakers,Footwear,S,Pink,Winter,3.2,PROD2372
Sweater,Clothing,L,Orange,Summer,3.7,PROD2373
Coat,Outerwear,L,White,Summer,4.6,PROD2374
Jewelry,Accessories,S,Purple,Spring,5,PROD2375
Sunglasses,Accessories,M,Olive,Summer,4.4,PROD2376
Shoes,Footwear,S,Gray,Fall,4.9,PROD2377
Scarf,Accessories,M,Silver,Spring,4.1,PROD2378
Dress,Clothing,L,Orange,Winter,4.9,PROD2379
T-shirt,Clothing,S,Magenta,Fall,4.7,PROD2380
Backpack,Accessories,XL,Beige,Fall,3,PROD2381
Jewelry,Accessories,L,Lavender,Winter,3.4,PROD2382
Jeans,Clothing,M,Peach,Winter,3.2,PROD2383
Sunglasses,Accessories,S,Magenta,Fall,2.9,PROD2384
Sweater,Clothing,M,Beige,Fall,4.5,PROD2385
Shorts,Clothing,S,Yellow,Fall,2.7,PROD2386
Jewelry,Accessories,L,Brown,Spring,3.4,PROD2387
Coat,Outerwear,L,Silver,Summer,4.6,PROD2388
Handbag,Accessories,M,Orange,Summer,2.7,PROD2389
Boots,Footwear,L,Purple,Spring,4.2,PROD2390
Gloves,Accessories,M,Indigo,Winter,3.2,PROD2391
Sweater,Clothing,L,Gray,Spring,4.8,PROD2392
T-shirt,Clothing,XL,Black,Spring,3.3,PROD2393
Shoes,Footwear,L,Maroon,Fall,4.2,PROD2394
Scarf,Accessories,M,Beige,Spring,4.8,PROD2395
Sneakers,Footwear,L,Brown,Winter,4.9,PROD2396
Dress,Clothing,S,Black,Fall,3.9,PROD2397
Belt,Accessories,M,Indigo,Fall,3,PROD2398
Boots,Footwear,S,Silver,Winter,4.6,PROD2399
Scarf,Accessories,L,Blue,Fall,3.5,PROD2400
Boots,Footwear,M,Green,Winter,4.8,PROD2401
T-shirt,Clothing,L,Orange,Fall,4.8,PROD2402
Backpack,Accessories,L,Cyan,Fall,3,PROD2403
Sneakers,Footwear,M,Orange,Winter,4.5,PROD2404
T-shirt,Clothing,M,Indigo,Spring,4.8,PROD2405
Jeans,Clothing,S,Silver,Summer,3.8,PROD2406
Gloves,Accessories,M,Peach,Spring,4.6,PROD2407
Hoodie,Clothing,XL,Teal,Spring,3.1,PROD2408
Sneakers,Footwear,L,White,Spring,3.4,PROD2409
Shorts,Clothing,M,Brown,Winter,3.3,PROD2410
Sweater,Clothing,L,Lavender,Spring,4.8,PROD2411
Jeans,Clothing,M,Indigo,Summer,2.8,PROD2412
Jacket,Outerwear,M,Yellow,Summer,3.1,PROD2413
Jewelry,Accessories,S,White,Summer,4.6,PROD2414
Backpack,Accessories,L,Violet,Winter,2.6,PROD2415
Coat,Outerwear,M,Lavender,Winter,2.6,PROD2416
Belt,Accessories,L,Olive,Spring,3.8,PROD2417
Sandals,Footwear,L,Beige,Fall,4.5,PROD2418
Sweater,Clothing,L,Purple,Spring,3,PROD2419
Shorts,Clothing,S,Teal,Winter,3.5,PROD2420
Socks,Clothing,S,Peach,Spring,3.8,PROD2421
Shirt,Clothing,M,Violet,Winter,3.5,PROD2422
Pants,Clothing,M,Purple,Fall,3.1,PROD2423
Scarf,Accessories,L,Teal,Spring,3,PROD2424
Sweater,Clothing,M,Gold,Winter,4.3,PROD2425
Jeans,Clothing,S,Teal,Winter,3.3,PROD2426
Pants,Clothing,M,Violet,Winter,4.7,PROD2427
Backpack,Accessories,L,Black,Winter,4.5,PROD2428
Coat,Outerwear,XL,Gold,Winter,2.9,PROD2429
Sandals,Footwear,M,Gold,Winter,4.1,PROD2430
Shirt,Clothing,M,Brown,Summer,3.5,PROD2431
Hat,Accessories,L,Cyan,Winter,3.4,PROD2432
Shirt,Clothing,S,Indigo,Fall,3.3,PROD2433
Skirt,Clothing,M,Orange,Fall,3.2,PROD2434
Shoes,Footwear,L,Pink,Spring,4,PROD2435
Coat,Outerwear,XL,Olive,Winter,3.6,PROD2436
Pants,Clothing,L,Cyan,Summer,4.6,PROD2437
Jewelry,Accessories,M,Peach,Summer,2.6,PROD2438
Belt,Accessories,M,Turquoise,Winter,4.3,PROD2439
Jacket,Outerwear,M,Turquoise,Summer,3.4,PROD2440
Shirt,Clothing,XL,Maroon,Winter,3.5,PROD2441
Hoodie,Clothing,M,Maroon,Winter,4.2,PROD2442
Sunglasses,Accessories,M,Olive,Fall,3.5,PROD2443
Sunglasses,Accessories,M,Magenta,Summer,3.6,PROD2444
Dress,Clothing,M,Red,Summer,4.3,PROD2445
Boots,Footwear,M,Olive,Fall,4.9,PROD2446
Shirt,Clothing,M,Silver,Summer,4.1,PROD2447
Shorts,Clothing,S,Turquoise,Spring,3.6,PROD2448
Gloves,Accessories,M,Yellow,Summer,3.4,PROD2449
Jewelry,Accessories,L,Peach,Summer,2.9,PROD2450
Boots,Footwear,L,Beige,Summer,2.7,PROD2451
Jewelry,Accessories,M,Pink,Summer,4.3,PROD2452
Pants,Clothing,M,Violet,Summer,3.3,PROD2453
Jewelry,Accessories,XL,Peach,Winter,2.8,PROD2454
Jacket,Outerwear,S,Gold,Summer,3.2,PROD2455
Blouse,Clothing,XL,Gold,Fall,3.6,PROD2456
Blouse,Clothing,S,Indigo,Fall,4,PROD2457
Gloves,Accessories,M,Blue,Spring,4.9,PROD2458
Shorts,Clothing,L,Black,Winter,4,PROD2459
Hat,Accessories,L,Black,Winter,3.8,PROD2460
Shoes,Footwear,L,Teal,Summer,3.7,PROD2461
Boots,Footwear,M,Yellow,Winter,3.9,PROD2462
